group_key,group_size,id,alloy,cycle1_holdingtemp_degc,cycle1_holdingtime_min,article_url,original_image,ai_cleaned_image,augumented_data,c,mn,si,cr,p,s,mo,cu,ni,al,nb,v,ti,ti_nb_v,b,ce_la,fe,pixel_size,heat_treatment_type,num_cycles,cycle0_rolling,cycle0_rtemp,cycle0_rpercentage,cycle1_hrate_degc_min,cycle1_crate_degc_s,cycle1_rolling,cycle1_rtemp,cycle1_rpercentage,cycle1_qtype,cycle1_qtemp,cycle1_qtime_min,cycle2_hrate_degc_min,cycle2_holdingtemp_degc,cycle2_holdingtime_min,cycle2_crate_degc_s,cycle2_rolling,cycle2_rtemp_degc,cycle2_rpercentage,cycle2_qtype,cycle2_qtemp_degc,cycle2_qtime_min,cycle3_hrate_degc_min,cycle3_holdingtemp_degc,cycle3_holdingtime_min,cycle3_crate_degc_s,cycle3_rolling,cycle3_rtemp,cycle3_rpercentage,cycle3_qtype,cycle3_qtemp,cycle3_qtime,cycle4_hrate_degc_min,cycle4_holdingtemp_degc,cycle4_holdingtime_min,cycle4_crate_degc_s,cycle4_rolling,cycle4_rtemp,cycle4_rpercentage,cycle4_qtype,cycle4_qtemp,cycle4_qtime
DP steel__760.0__5.0,3,15_6_a_DP,DP steel,760.0,5.0,,,,https://drive.google.com/drive/folders/1tpW9DKeKeCwSDFkCkoaKNA5Y3P14pdmj,0.07,1.22,0.51,,0.05,,,,,0.035,,,0.025,,,,98.09,,Cold-rolled → Austenizing  → sand cooling,1.0,cold rolling,,,,1.0,,,,sand,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP steel__760.0__10.0,3,15_6_b_DP,DP steel,760.0,10.0,,,,https://drive.google.com/drive/folders/1sPsq0mYAz57k0JoMLtc-XErC3KBjOc_o,0.07,1.22,0.51,,0.05,,,,,0.035,,,0.025,,,,98.09,,Cold-rolled → Austenizing  → sand cooling,1.0,cold rolling,,,,1.0,,,,sand,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP steel__871.0__5.0,3,15_6_c_DP,DP steel,871.0,5.0,,,,https://drive.google.com/drive/folders/1KHiyUB9mSKNmJMBEZ8pLLlGFGkmRQtyu,0.07,1.22,0.51,,0.05,,,,,0.035,,,0.025,,,,98.09,,Cold-rolled → Austenizing  → sand cooling,1.0,cold rolling,,,,1.0,,,,sand,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP steel__871.0__10.0,3,15_6_d_DP,DP steel,871.0,10.0,,,,https://drive.google.com/drive/folders/1iZPcbBDLYiHkkf5t5jIpcZTGgk2fkpBH,0.07,1.22,0.51,,0.05,,,,,0.035,,,0.025,,,,98.09,,Cold-rolled → Austenizing  → sand cooling,1.0,cold rolling,,,,1.0,,,,sand,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP steel__770.0__10.0,3,16_7_a_DP,DP steel,770.0,10.0,,,,https://drive.google.com/drive/folders/1P6xDn9aRZQ4nrNcj78EZ-k5jB-AlIst8,0.07,0.78,0.15,,,,,,,,,,,,,,99.0,,(Cold-rolled → Tempered  → water quenched) → Austenizing→ water quenched,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP steel__770.0__10.0,3,16_7_b_DP,DP steel,770.0,10.0,,,,https://drive.google.com/drive/folders/1Czc-sOcUq29ZmVKG4QKW-QWDQYerF6nc,0.07,0.78,0.15,,,,,,,,,,,,,,99.0,,(Cold-rolled → Tempered  → water quenched) → Austenizing→ water quenched,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP steel__770.0__10.0,3,16_7_c_DP,DP steel,770.0,10.0,,,,https://drive.google.com/drive/folders/1fM0aEC_stazZ0rHEf3C_VpQgilVmb7sv,0.07,0.78,0.15,,,,,,,,,,,,,,99.0,,(Cold-rolled → Tempered  → water quenched) → Austenizing→ water quenched,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP steel__800.0__10.0,3,16_8_a_DP,DP steel,800.0,10.0,,,,https://drive.google.com/drive/folders/1NAtkof8PPRpAHvF9LxsHAIrZIsckRmJL,0.07,0.78,0.15,,,,,,,,,,,,,,99.0,,(Cold-rolled → Tempered  → water quenched) → Austenizing→ water quenched,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP steel__800.0__10.0,3,16_8_b_DP,DP steel,800.0,10.0,,,,https://drive.google.com/drive/folders/1JDJ1e359FBpbBE_U1eoqEgJxJt0mW6kB,0.07,0.78,0.15,,,,,,,,,,,,,,99.0,,(Cold-rolled → Tempered  → water quenched) → Austenizing→ water quenched,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP steel__800.0__10.0,3,16_8_c_DP,DP steel,800.0,10.0,,,,https://drive.google.com/drive/folders/14Eo3q83ufLzLfQm-aKM7oEZG20fJooIK,0.07,0.78,0.15,,,,,,,,,,,,,,99.0,,(Cold-rolled → Tempered  → water quenched) → Austenizing→ water quenched,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP steel__830.0__10.0,3,16_9_a_DP,DP steel,830.0,10.0,,,,https://drive.google.com/drive/folders/1u-HMVOBBAUr_K7yoGvbIBlMGoRZ9c7zT,0.07,0.78,0.15,,,,,,,,,,,,,,99.0,,(Cold-rolled → Tempered  → water quenched) → Austenizing→ water quenched,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP steel__830.0__10.0,3,16_9_b_DP,DP steel,830.0,10.0,,,,https://drive.google.com/drive/folders/1ZN7Bp85gYvAWk4e-kabdoLjCD9lUoniX,0.07,0.78,0.15,,,,,,,,,,,,,,99.0,,(Cold-rolled → Tempered  → water quenched) → Austenizing→ water quenched,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP steel__830.0__10.0,3,16_9_c_DP,DP steel,830.0,10.0,,,,https://drive.google.com/drive/folders/1f2XvBQbpsZwfn0yYi5H3Yw2mdQ2w9Ejm,0.07,0.78,0.15,,,,,,,,,,,,,,99.0,,(Cold-rolled → Tempered  → water quenched) → Austenizing→ water quenched,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP steel (AISI 5115)__730.0__200.0,3,18_3_a_DP_AISI_5115,DP steel (AISI 5115),730.0,200.0,,,,https://drive.google.com/drive/folders/1kNFoWiIAFmRuLFMEJHu4P887qrpp-tfU,0.25,1.1,0.15,1.0,0.035,0.025,,,,,,,,,,,97.44,,,1.0,cold rolling,,,,,,,,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP steel (AISI 5115)__730.0__200.0,3,18_3_b_DP_AISI_5115,DP steel (AISI 5115),730.0,200.0,,,,https://drive.google.com/drive/folders/1dPDrnosDQp_qpbDfTKDmxgsPGQsTmWH2,0.25,1.1,0.15,1.0,0.035,0.025,,,,,,,,,,,97.44,,,1.0,cold rolling,,,,,,,,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP steel (AISI 5115)__730.0__200.0,3,18_3_c_DP_AISI_5115,DP steel (AISI 5115),730.0,200.0,,,,https://drive.google.com/drive/folders/1lUgxTp6qNxw6JBTj4CdiOt0bfDfpx3dz,0.25,1.1,0.15,1.0,0.035,0.025,,,,,,,,,,,97.44,,,1.0,cold rolling,,,,,,,,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP steel (X70)__800.0__30.0,3,19_2_DP_X70,DP steel (X70),800.0,30.0,,,,https://drive.google.com/drive/folders/12xM8sdcDeOvTMBJNeiiVrLaO8nvlZQ3Z,0.07,1.52,0.34,,0.012,0.001,,,,0.035,0.045,0.048,0.003,,,,97.926,,Austenizing  → water quenching ,1.0,,,,,,,,,water,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP steel (X70)__800.0__30.0,3,19_3_a_DP_X70,DP steel (X70),800.0,30.0,,,,https://drive.google.com/drive/folders/1XEFtn6qKjU0ycNkiQWp-WKio2gy4czBm,0.07,1.52,0.34,,0.012,0.001,,,,0.035,0.045,0.048,0.003,,,,97.926,,Austenizing  → water quenching → tempering → water quenched ,2.0,,,,,,,,,water ,25.0,,,300.0,60.0,,,,,water ,25.0,,,,,,,,,,,,,,,,,,,,,
DP steel (X70)__800.0__30.0,3,19_3_b_DP_X70,DP steel (X70),800.0,30.0,,,,https://drive.google.com/drive/folders/1Q6wbpFwCGeRv3aZSwJpAlASkmGb0vIQV,0.07,1.52,0.34,,0.012,0.001,,,,0.035,0.045,0.048,0.003,,,,97.926,,Austenizing  → water quenching → tempering → water quenched ,2.0,,,,,,,,,water,25.0,,,400.0,60.0,,,,,water ,25.0,,,,,,,,,,,,,,,,,,,,,
DP-Custom__1250.0__5.0,1,23_8_b_Custom,DP-Custom,1250.0,5.0,,,,https://drive.google.com/drive/folders/1nBUG-6hVKXE-RPeiuczfWJPyZV7OU7jd,0.172,1.61,1.52,0.195,,,,,,,,,,,,,96.503,,,2.0,,,,1800.0,,,,,helium,25.0,,1800.0,750.0,5.0,,,,,helium,25.0,,,,,,,,,,,,,,,,,,,,,
DP steel__760.0__30.0,5,20_2_DP,DP steel,760.0,30.0,,,,https://drive.google.com/drive/folders/1ecbCcSAcsfO4QtHqlhuGgmq1SYpmEo4B,0.21,1.18,0.26,0.18,0.03,0.03,,0.2,0.12,,,,,,,,97.79,,Austenizing  → water quenching,1.0,,,,,,,,,water,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP steel__760.0__30.0,5,20_3_a_DP,DP steel,760.0,30.0,,,,https://drive.google.com/drive/folders/1kTVIrzl_qSdzfHb028cmhGxwYhUlbv68,0.21,1.18,0.26,0.18,0.03,0.03,,0.2,0.12,,,,,,,,97.79,,Austenizing  → water quenching → tempering → water quenched ,2.0,hot rolling,,,,,,,,water,25.0,,,200.0,60.0,,,,,water,25.0,,,,,,,,,,,,,,,,,,,,,
DP steel__760.0__30.0,5,20_3_b_DP,DP steel,760.0,30.0,,,,https://drive.google.com/drive/folders/1bGvUgVQdkAQ3RV5PFsE4QQZi9p5Dxlfw,0.21,1.18,0.26,0.18,0.03,0.03,,0.2,0.12,,,,,,,,97.79,,Austenizing  → water quenching → tempering → water quenched ,2.0,hot rolling,,,,,,,,water,25.0,,,400.0,60.0,,,,,water,25.0,,,,,,,,,,,,,,,,,,,,,
DP steel__760.0__30.0,5,20_3_c_DP,DP steel,760.0,30.0,,,,https://drive.google.com/drive/folders/1jPVLPjh018uT-oTgPa0rlWAB4nksRzc9,0.21,1.18,0.26,0.18,0.03,0.03,,0.2,0.12,,,,,,,,97.79,,Austenizing  → water quenching → tempering → water quenched ,2.0,hot rolling,,,,,,,,water,25.0,,,500.0,60.0,,,,,water,25.0,,,,,,,,,,,,,,,,,,,,,
DP steel__760.0__30.0,5,20_3_d_DP,DP steel,760.0,30.0,,,,https://drive.google.com/drive/folders/1XQqg2tzlFVhMsBPT2HlM0L1UfS-LTgaU,0.21,1.18,0.26,0.18,0.03,0.03,,0.2,0.12,,,,,,,,97.79,,Austenizing  → water quenching → tempering → water quenched ,2.0,hot rolling,,,,,,,,water,25.0,,,600.0,60.0,,,,,water,25.0,,,,,,,,,,,,,,,,,,,,,
DP600 GI__860.0__20.0,5,10_9_sample_image_04_28_17_34_5,DP600 GI,860.0,20.0,,,,https://drive.google.com/drive/folders/1DLBbpa0dBE-mu-hId4IkqG1fmj8D6Ruk,0.106,1.49,0.19,0.16,0.008,0.002,,,,0.033,,,,,,,98.011,,Austenizing  → water quenching → tempering → water quenched ,1.0,,,,,,,,,water,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP600 GI__860.0__20.0,5,10_9_sample_image_04_28_17_33_4,DP600 GI,860.0,20.0,,,,https://drive.google.com/drive/folders/1hrzYdaWu3QLcYLUkQ9MwFvjheXkX92QM,0.106,1.49,0.19,0.16,0.008,0.002,,,,0.033,,,,,,,98.011,,Austenizing  → water quenching → tempering → water quenched ,1.0,,,,,,,,,water,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP600 GI__860.0__20.0,5,10_9_sample_image_04_28_17_31_3,DP600 GI,860.0,20.0,,,,https://drive.google.com/drive/folders/1zDXX1v0LszAdYVxUDTKTgbdnbkjIMGJf,0.106,1.49,0.19,0.16,0.008,0.002,,,,0.033,,,,,,,98.011,,Austenizing  → water quenching → tempering → water quenched ,1.0,,,,,,,,,water,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP600 GI__860.0__20.0,5,10_9_sample_image_04_28_17_30_2,DP600 GI,860.0,20.0,,,,https://drive.google.com/drive/folders/1boNwNGl5IRpZgqQF7QWisvsV0yA0xNOG,0.106,1.49,0.19,0.16,0.008,0.002,,,,0.033,,,,,,,98.011,,Austenizing  → water quenching → tempering → water quenched ,1.0,,,,,,,,,water,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP600 GI__860.0__20.0,5,10_9_sample_image_04_28_17_29_1,DP600 GI,860.0,20.0,,,,https://drive.google.com/drive/folders/1xgy9wKbfOXEpP9ZTAUr-Xq211o0QBUCA,0.106,1.49,0.19,0.16,0.008,0.002,,,,0.033,,,,,,,98.011,,Austenizing  → water quenching → tempering → water quenched ,1.0,,,,,,,,,water,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP590 GA__860.0__20.0,5,10_2_sample_image_04_28_17_25_5,DP590 GA,860.0,20.0,,,,https://drive.google.com/drive/folders/1DKqCBYIajXCf49ieNck4QDHAye3jfBrH,0.095,1.97,0.25,0.34,0.012,0.002,,,,0.042,,,,,,,97.289,,Austenizing  → water quenching → tempering → water quenched ,1.0,,,,,,,,,water,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP590 GA__860.0__20.0,5,10_2_sample_image_04_28_17_23_4,DP590 GA,860.0,20.0,,,,https://drive.google.com/drive/folders/1wa62tXxG0kVvrLPvd_mlxAZ7xfC0Lorz,0.095,1.97,0.25,0.34,0.012,0.002,,,,0.042,,,,,,,97.289,,Austenizing  → water quenching → tempering → water quenched ,1.0,,,,,,,,,water,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP590 GA__860.0__20.0,5,10_2_sample_image_04_28_17_22_3,DP590 GA,860.0,20.0,,,,https://drive.google.com/drive/folders/1PJ3cXrPOa4xvT2J9BFd1KrsKHOgy2zo6,0.095,1.97,0.25,0.34,0.012,0.002,,,,0.042,,,,,,,97.289,,Austenizing  → water quenching → tempering → water quenched ,1.0,,,,,,,,,water,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP590 GA__860.0__20.0,5,10_2_sample_image_04_28_17_20_2,DP590 GA,860.0,20.0,,,,https://drive.google.com/drive/folders/1QA_xLZVka3toSlk7nJNiupZw26c00nn0,0.095,1.97,0.25,0.34,0.012,0.002,,,,0.042,,,,,,,97.289,,Austenizing  → water quenching → tempering → water quenched ,1.0,,,,,,,,,water,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP590 GA__860.0__20.0,5,10_2_sample_image_04_28_17_19_1,DP590 GA,860.0,20.0,,,,https://drive.google.com/drive/folders/1Lh7dMKJPWQmTPci0wVQg1iuxjCBCS86S,0.095,1.97,0.25,0.34,0.012,0.002,,,,0.042,,,,,,,97.289,,Austenizing  → water quenching → tempering → water quenched ,1.0,,,,,,,,,water,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP600 GI__750.0__10.0,5,27_9_sample_image_04_28_16_56_5,DP600 GI,750.0,10.0,,,,https://drive.google.com/drive/folders/1fcA9bbRKYzWGYTnP5BrbwJZ2NeBL2ByJ,0.106,1.49,0.19,0.16,0.008,0.002,,,,0.033,,,,,,,98.011,,Austenizing  → water quenching → tempering → water quenched ,1.0,,,,,,,,,water,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP600 GI__750.0__10.0,5,27_9_sample_image_04_28_16_54_4,DP600 GI,750.0,10.0,,,,https://drive.google.com/drive/folders/1sduP5cvZMthT2ksucDxPHruJG78s1kAm,0.106,1.49,0.19,0.16,0.008,0.002,,,,0.033,,,,,,,98.011,,Austenizing  → water quenching → tempering → water quenched ,1.0,,,,,,,,,water,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP600 GI__750.0__10.0,5,27_9_sample_image_04_28_16_53_3,DP600 GI,750.0,10.0,,,,https://drive.google.com/drive/folders/1_HxnpkiAmvOwMGWleNDfoTUqGLmkznKE,0.106,1.49,0.19,0.16,0.008,0.002,,,,0.033,,,,,,,98.011,,Austenizing  → water quenching → tempering → water quenched ,1.0,,,,,,,,,water,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP600 GI__750.0__10.0,5,27_9_sample_image_04_28_16_52_2,DP600 GI,750.0,10.0,,,,https://drive.google.com/drive/folders/1zvM0hi1kw3dw3ztXzTmOto4w3ILW5uA-,0.106,1.49,0.19,0.16,0.008,0.002,,,,0.033,,,,,,,98.011,,Austenizing  → water quenching → tempering → water quenched ,1.0,,,,,,,,,water,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP600 GI__750.0__10.0,5,27_9_sample_image_04_28_16_49_4,DP600 GI,750.0,10.0,,,,https://drive.google.com/drive/folders/1OZDUC00s7Q3S_AgbIPPdJTU1r6hLR6zY,0.106,1.49,0.19,0.16,0.008,0.002,,,,0.033,,,,,,,98.011,,Austenizing  → water quenching → tempering → water quenched ,1.0,,,,,,,,,water,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP980 GA__750.0__10.0,5,27_5_sample_image_04_28_16_41_5,DP980 GA,750.0,10.0,,,,https://drive.google.com/drive/folders/129ECT1tHZvEzz435ijOUQp-mnQ32aOjY,0.091,2.47,0.47,0.02,0.01,0.002,,,,0.024,,,,,,,96.913,,Austenizing  → water quenching → tempering → water quenched ,1.0,,,,,,,,,water,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP980 GA__750.0__10.0,5,27_5_sample_image_04_28_16_39_4,DP980 GA,750.0,10.0,,,,https://drive.google.com/drive/folders/1Gsx7h5mKLOqDAXI4fjl5BiF_n8EweYem,0.091,2.47,0.47,0.02,0.01,0.002,,,,0.024,,,,,,,96.913,,Austenizing  → water quenching → tempering → water quenched ,1.0,,,,,,,,,water,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP980 GA__750.0__10.0,5,27_5_sample_image_04_28_16_38_3,DP980 GA,750.0,10.0,,,,https://drive.google.com/drive/folders/15qFKnKXCrZWkStiwdMS5tMQQ4fatDfgP,0.091,2.47,0.47,0.02,0.01,0.002,,,,0.024,,,,,,,96.913,,Austenizing  → water quenching → tempering → water quenched ,1.0,,,,,,,,,water,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP980 GA__750.0__10.0,5,27_5_sample_image_04_28_16_36_2,DP980 GA,750.0,10.0,,,,https://drive.google.com/drive/folders/1tX811z1gUots7h5o-2UFhNN33OwxYWe-,0.091,2.47,0.47,0.02,0.01,0.002,,,,0.024,,,,,,,96.913,,Austenizing  → water quenching → tempering → water quenched ,1.0,,,,,,,,,water,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP980 GA__750.0__10.0,5,27_5_sample_image_04_28_16_34_1,DP980 GA,750.0,10.0,,,,https://drive.google.com/drive/folders/1tpNX4D-nONmsaZbEbxbB7kLOt8q4KWeA,0.091,2.47,0.47,0.02,0.01,0.002,,,,0.024,,,,,,,96.913,,Austenizing  → water quenching → tempering → water quenched ,1.0,,,,,,,,,water,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP590 GA__750.0__10.0,5,27_2_sample_image_04_28_15_52_5,DP590 GA,750.0,10.0,,,,https://drive.google.com/drive/folders/1WpAfeC373riA-a5rBZbevWaliUvgp9AD,0.095,1.97,0.25,0.34,0.012,0.002,,,,0.042,,,,,,,97.289,,Austenizing  → water quenching → tempering → water quenched ,1.0,,,,,,,,,water,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP590 GA__750.0__10.0,5,27_2_sample_image_04_28_15_51_4,DP590 GA,750.0,10.0,,,,https://drive.google.com/drive/folders/1spn5ZB7hYrkv13EqbTAIBZVb8JjqBsJf,0.095,1.97,0.25,0.34,0.012,0.002,,,,0.042,,,,,,,97.289,,Austenizing  → water quenching → tempering → water quenched ,1.0,,,,,,,,,water,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP590 GA__750.0__10.0,5,27_2_sample_image_04_28_15_49_3,DP590 GA,750.0,10.0,,,,https://drive.google.com/drive/folders/1CtoOxqc65FA6dct0U35CSpONygdCibxo,0.095,1.97,0.25,0.34,0.012,0.002,,,,0.042,,,,,,,97.289,,Austenizing  → water quenching → tempering → water quenched ,1.0,,,,,,,,,water,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP590 GA__750.0__10.0,5,27_2_sample_image_04_28_15_47_2,DP590 GA,750.0,10.0,,,,https://drive.google.com/drive/folders/1RGApVLcg5USYehpFKbGazKFHhd_cIt2v,0.095,1.97,0.25,0.34,0.012,0.002,,,,0.042,,,,,,,97.289,,Austenizing  → water quenching → tempering → water quenched ,1.0,,,,,,,,,water,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP590 GA__750.0__10.0,5,27_2_sample_image_04_28_15_45_1,DP590 GA,750.0,10.0,,,,https://drive.google.com/drive/folders/1pNJZLm6UCd6O_trWj2SN9K3k-9lqaVou,0.095,1.97,0.25,0.34,0.012,0.002,,,,0.042,,,,,,,97.289,,Austenizing  → water quenching → tempering → water quenched ,1.0,,,,,,,,,water,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP780 GA__750.0__10.0,5,27_4_sample_image_04_28_16_27_5,DP780 GA,750.0,10.0,,,,https://drive.google.com/drive/folders/14iao5-oIp2Bm4MCoOT339aTaXTpwcjWg,0.086,2.2,0.46,0.41,0.007,0.002,,,,0.025,,,,,,,96.81,,Austenizing  → water quenching → tempering → water quenched ,1.0,,,,,,,,,water,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP780 GA__750.0__10.0,5,27_4_sample_image_04_28_16_25_4,DP780 GA,750.0,10.0,,,,https://drive.google.com/drive/folders/1NoOKoRu20gQGVzbOLj4B_mBhTB-HEC6k,0.086,2.2,0.46,0.41,0.007,0.002,,,,0.025,,,,,,,96.81,,Austenizing  → water quenching → tempering → water quenched ,1.0,,,,,,,,,water,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP780 GA__750.0__10.0,5,27_4_sample_image_04_28_16_23_3,DP780 GA,750.0,10.0,,,,https://drive.google.com/drive/folders/1OnfM-4YQAN2sLSz4MciheTTctwia5jjS,0.086,2.2,0.46,0.41,0.007,0.002,,,,0.025,,,,,,,96.81,,Austenizing  → water quenching → tempering → water quenched ,1.0,,,,,,,,,water,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP780 GA__750.0__10.0,5,27_4_sample_image_04_28_16_22_2,DP780 GA,750.0,10.0,,,,https://drive.google.com/drive/folders/1GZ8rN4faAGptyKasrQeoz7m5FB9AWjFG,0.086,2.2,0.46,0.41,0.007,0.002,,,,0.025,,,,,,,96.81,,Austenizing  → water quenching → tempering → water quenched ,1.0,,,,,,,,,water,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP780 GA__750.0__10.0,5,27_4_sample_image_04_28_16_20_1,DP780 GA,750.0,10.0,,,,https://drive.google.com/drive/folders/1k8s4jlcen7vPag69OnPrTcFjXiVI8-62,0.086,2.2,0.46,0.41,0.007,0.002,,,,0.025,,,,,,,96.81,,Austenizing  → water quenching → tempering → water quenched ,1.0,,,,,,,,,water,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP1180 GA__750.0__10.0,5,27_3_sample_image_04_28_16_10_5,DP1180 GA,750.0,10.0,,,,https://drive.google.com/drive/folders/197lScVDQQS15yq9PNIn0K-KtcMDlkvGQ,0.114,2.61,0.43,0.02,0.007,0.003,,,,0.018,,,,,,,96.798,,Austenizing  → water quenching → tempering → water quenched ,1.0,,,,,,,,,water,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP1180 GA__750.0__10.0,5,27_3_sample_image_04_28_16_07_4,DP1180 GA,750.0,10.0,,,,https://drive.google.com/drive/folders/1Zbnm6xu5dxwNWT7kOP5KC508YVYd4Enf,0.114,2.61,0.43,0.02,0.007,0.003,,,,0.018,,,,,,,96.798,,Austenizing  → water quenching → tempering → water quenched ,1.0,,,,,,,,,water,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP1180 GA__750.0__10.0,5,27_3_sample_image_04_28_16_06_3,DP1180 GA,750.0,10.0,,,,https://drive.google.com/drive/folders/1QhfFi4SM9rF5q9Qc2g_mA6R3O6DgMtUJ,0.114,2.61,0.43,0.02,0.007,0.003,,,,0.018,,,,,,,96.798,,Austenizing  → water quenching → tempering → water quenched ,1.0,,,,,,,,,water,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP1180 GA__750.0__10.0,5,27_3_sample_image_04_28_16_04_2,DP1180 GA,750.0,10.0,,,,https://drive.google.com/drive/folders/1bzqIlEFqSJlolKox9290ewmUew_DvgEJ,0.114,2.61,0.43,0.02,0.007,0.003,,,,0.018,,,,,,,96.798,,Austenizing  → water quenching → tempering → water quenched ,1.0,,,,,,,,,water,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP1180 GA__750.0__10.0,5,27_3_sample_image_04_28_16_02_1,DP1180 GA,750.0,10.0,,,,https://drive.google.com/drive/folders/1JbOb4ti4be8vwrdlb6bLcdfarycc2iPT,0.114,2.61,0.43,0.02,0.007,0.003,,,,0.018,,,,,,,96.798,,Austenizing  → water quenching → tempering → water quenched ,1.0,,,,,,,,,water,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP980 GA__830.0__30.0,5,14_5_15kv_bsd_full_130µm_4000x_before_heat_04_29_2026_0_10pa_5,DP980 GA,830.0,30.0,,,,https://drive.google.com/drive/folders/17ccKaizm9hFSsweZC1myC7AOilw8sI2J,0.091,2.47,0.47,0.02,0.01,0.002,,,,0.024,,,,,,,96.913,,Austenizing  → water quenching → tempering → water quenched ,1.0,,,,,,,,,water,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP980 GA__830.0__30.0,5,14_5_15kv_bsd_full_130µm_4000x_before_heat_04_29_2026_0_10pa_4,DP980 GA,830.0,30.0,,,,https://drive.google.com/drive/folders/1SbAHuxcVtViEtT8BvxdYikUOmXDig_3k,0.091,2.47,0.47,0.02,0.01,0.002,,,,0.024,,,,,,,96.913,,Austenizing  → water quenching → tempering → water quenched ,1.0,,,,,,,,,water,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP980 GA__830.0__30.0,5,14_5_15kv_bsd_full_130µm_4000x_before_heat_04_29_2026_0_10pa_3,DP980 GA,830.0,30.0,,,,https://drive.google.com/drive/folders/1Dn2BTV1eLuN-0QBqvGEErbxpEYkYsYzf,0.091,2.47,0.47,0.02,0.01,0.002,,,,0.024,,,,,,,96.913,,Austenizing  → water quenching → tempering → water quenched ,1.0,,,,,,,,,water,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
